id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47705552,Greengate Cottages-Sarah Cottage-2 bedroom Strahan,98354268,Margo,,West Coast,-42.14774,145.31719,Entire home/apt,200,1,32,2023-02-16,1.24,3,323,12,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
47706166,Greengate Cottages-Macquarie Cottage-3 Bedroom,98354268,Margo,,West Coast,-42.14729,145.31602,Entire home/apt,230,1,61,2023-02-18,2.35,3,8,15,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
47720265,"Private ensuite, stylish, comfy with garden view",33722802,Di,,Launceston,-41.43612,147.11781,Private room,88,1,3,2022-02-19,0.13,2,0,0,Exempt: This listing falls under the 'home sharing' exemption
47747751,The Secret Bank Society Ringarooma - Entire Bank.,147344168,Julia,,Dorset,-41.24162,147.73532,Entire home/apt,313,1,14,2022-09-23,0.71,22,337,7,PLA/2021/23
47760309,The Top Paddock,353875334,Kaye,,Waratah/Wynyard,-41.14959,145.72834,Entire home/apt,227,1,212,2023-03-08,8.28,1,350,105,Exempt: This listing falls under the 'home sharing' exemption
47762122,Ruby Cottage : Studio separate  from main house.,68980411,Susan,,Dorset,-41.2394,147.73712,Entire home/apt,122,1,89,2023-03-04,3.82,1,148,52,Exempt: This listing falls under the 'home sharing' exemption
47762424,Stunning home with Breathtaking Views,707620,Georgia,,Hobart,-42.87967,147.30143,Entire home/apt,813,2,52,2023-02-26,2.01,2,37,28,Exempt: This listing falls under the 'home sharing' exemption
47765422,Refresh109 Easy Access Room,381403163,Mark,,Launceston,-41.43657,147.13519,Private room,162,1,17,2022-09-26,0.67,5,317,8,"Exempt: This listing is a hotel, motel, or caravan park"
47790262,Oystercatcher's Return,205817190,Christine,,Latrobe,-41.16844,146.5542,Entire home/apt,190,2,37,2023-01-28,2.48,1,285,26,DA 262/2021
47800426,The River House at Riverfront Motel,5885909,Marina,,Glenorchy,-42.8172,147.26065,Entire home/apt,448,1,25,2023-01-07,1.09,2,246,10,"Exempt: This listing is a hotel, motel, or caravan park"
47800653,Hill House Two Bedrooms,1128272,Maggie And Gary,,Hobart,-42.91999,147.35189,Entire home/apt,225,2,15,2023-02-27,1.09,2,37,12,Exempt: This listing falls under the 'home sharing' exemption
47803722,Charming & quaint - central New Norfolk 20min MONA,385304566,Sarah,,Derwent Valley,-42.77793,147.06809,Entire home/apt,90,2,59,2023-02-23,2.32,1,56,30,Exempt: This listing falls under the 'home sharing' exemption
48790773,Luxury Lake-House Retreat: Squizzy* 2 min to beach,393623802,Michaela,,Waratah/Wynyard,-40.93012,145.57444,Entire home/apt,351,2,47,2023-02-21,2.00,1,130,23,7090766
48792287,Comfortable + fully s.c. located near university,24717262,Deborah,,Hobart,-42.91009,147.33162,Entire home/apt,85,2,46,2022-12-24,3.03,1,0,26,Exempt: This listing falls under the 'home sharing' exemption
48794823,The Good Soul Cottage- AS SEEN IN ADORE MAGAZINE,152256007,Lydia,,Launceston,-41.43015,147.13615,Entire home/apt,294,1,86,2023-03-06,5.88,1,344,75,DA0253/2021
48797325,Atelier,25626715,Verina,,Glamorgan/Spring Bay,-42.10623,148.24556,Entire home/apt,598,2,53,2023-02-15,2.30,80,284,33,DA 2021/46
48804930,The FLOPHouse at Scamander,166680473,Fiona,,Break O'Day,-41.44735,148.26623,Entire home/apt,171,2,70,2023-03-05,3.41,1,22,36,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
48810955,"Comfortable Home With Wifi, Parking and Views",5266238,Moxxi,,Launceston,-41.43989,147.11985,Entire home/apt,225,30,7,2022-11-27,0.41,76,151,6,Exempt: This listing falls under the 'home sharing' exemption
48811044,The Scientist's Residence,2725118,Margo & Mark,,Hobart,-42.89191,147.31257,Entire home/apt,150,2,59,2023-02-10,2.52,1,37,25,Exempt: This listing falls under the 'home sharing' exemption
48813752,Baragoola Retreat - Luxury Waterfront Property,70793890,Emma,,Clarence,-43.01406,147.47454,Entire home/apt,358,2,76,2023-02-24,3.32,1,343,38,D-2011/50
48831048,Ms Sophia's Studio Apartment - Historic Battery Pt,141916380,Samantha,,Hobart,-42.89151,147.33154,Entire home/apt,181,1,51,2023-02-24,2.17,15,338,22,PLN-18-32
48831098,Berwick Cottage in Historic Battery Point,141916380,Samantha,,Hobart,-42.88986,147.33136,Entire home/apt,279,2,54,2023-02-27,2.41,15,297,28,PLN-18-32
48835713,"""Castella"" Apartment 2 on Hiscutt Park",48913281,Anna,,Central Coast,-41.11257553100586,146.06858825683594,Entire home/apt,160,1,48,2023-02-15,2.06,6,158,29,Exempt: This listing falls under the 'home sharing' exemption
48853809,Waterfront 'Tupelo' on Primrose Point,363913124,Macy,,Sorell,-42.902107,147.679642,Entire home/apt,489,2,73,2023-03-06,3.54,7,276,38,CT 65241/68
48869830,Farm Stay 2 bedrooms,95649898,Peter And Sharon,,Launceston,-41.31346,147.02823,Entire home/apt,140,2,17,2022-09-18,1.19,1,67,12,DA0052/2020
48875071,Families Groups & Couples ~ Fresh Coastal Shack,98979781,Melissa,,Waratah/Wynyard,-40.91626,145.5576,Entire home/apt,286,2,42,2023-02-25,2.06,1,220,19,DA 63/2021
48907272,Mountain Valley Wilderness Holidays,394478350,Len,,Central Coast,-41.4143,145.97713,Entire home/apt,221,1,5,2023-02-14,0.37,1,319,4,"Exempt: This listing is a hotel, motel, or caravan park"
48921635,Castle Cottage Flinders Island,394601993,Barbara,,Flinders,-40.00075,147.90753,Entire home/apt,165,3,13,2023-02-26,0.58,1,323,6,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
48927253,Tinderbox Peninsula Chalets - Birdsong,394644775,John & Ruth,,Kingborough,-43.04015,147.30702,Entire home/apt,210,1,119,2023-02-28,5.09,2,359,52,BA/182-2019
48943744,"Morley Cottage, Inner City, Free Parking & WiFi",94688819,Stuart,,Hobart,-42.88382,147.32139,Entire home/apt,202,3,94,2023-02-19,4.16,9,36,53,PLN-21-544
48951161,Tinderbox Peninsula Chalets - Frogsong,394644775,John & Ruth,,Kingborough,-43.04074,147.30826,Entire home/apt,210,1,104,2023-02-25,4.46,2,353,55,BA/182-2019
